Date,Confirmed,Deaths,Recovered
2020-06-01,24562,724,10053
2020-06-02,24895,733,10461
2020-06-03,25385,742,10838
2020-06-04,25981,755,11468
2020-06-05,26542,770,11815
2020-06-06,27101,785,12265
2020-06-07,27599,796,12513
2020-06-08,28077,805,12657
2020-06-09,28479,818,12892
2020-06-10,29015,841,13257
2020-06-11,29706,864,13642
2020-06-12,30415,880,14075
2020-06-13,31177,890,14489
2020-06-14,31851,899,14596
2020-06-15,32536,911,14771
2020-06-16,33209,922,15054
2020-06-17,33986,953,15485
2020-06-18,34833,976,16001
2020-06-19,35755,995,16588
2020-06-20,36615,1004,16974
2020-06-21,37361,1012,17078
2020-06-22,38056,1022,17211
2020-06-23,38901,1045,17538
2020-06-24,39852,1061,18009
2020-06-25,40854,1078,18365
2020-06-26,41975,1097,18927
2020-06-27,42932,1121,19350
2020-06-28,43856,1142,19585
2020-06-29,44538,1161,19679
2020-06-30,45254,1173,19792
