Date,Confirmed,Deaths,Recovered
2020-07-01,45924,1188,20244
2020-07-02,46821,1200,20755
2020-07-03,47705,1227,21296
2020-07-04,48628,1243,21907
2020-07-05,49468,1265,22131
2020-07-06,50053,1278,22462
2020-07-07,50622,1299,22970
2020-07-08,51457,1323,23912
2020-07-09,52285,1344,24606
2020-07-10,53116,1362,25634
2020-07-11,53941,1389,26513
2020-07-12,54647,1400,26971
2020-07-13,55285,1415,27356
2020-07-14,55931,1429,28021
2020-07-15,56779,1444,29005
2020-07-16,57640,1462,29822
2020-07-17,58466,1473,30675
2020-07-18,59333,1496,31479
2020-07-19,60007,1504,31836
2020-07-20,60767,1517,32397
2020-07-21,61454,1537,33186
2020-07-22,62295,1553,34176
2020-07-23,63169,1570,35035
2020-07-24,64173,1591,35932
2020-07-25,65317,1610,36573
2020-07-26,66261,1625,36885
2020-07-27,67096,1636,37202
2020-07-28,68030,1650,37852
2020-07-29,69078,1673,38523
2020-07-30,70300,1697,39327
2020-07-31,71404,1717,39945
