Date,Confirmed,Deaths,Recovered
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-03,1,0,0
2020-03-11,3,1,0
2020-03-13,3,1,0
2020-03-13,3,1,0
2020-03-16,7,1,0
2020-03-17,14,2,0
2020-03-17,14,2,0
2020-03-19,16,2,0
2020-03-20,29,3,0
2020-03-21,47,3,1
2020-03-22,73,3,1
2020-03-23,73,3,1
2020-03-24,97,3,1
2020-03-25,145,5,1
2020-03-26,196,5,1
2020-03-27,310,5,5
2020-03-28,356,9,5
2020-03-29,475,10,6
2020-03-30,548,13,8
2020-03-31,645,17,10
