Date,Confirmed,Deaths,Recovered
2020-11-01,407573,7515,168495
2020-11-02,414567,7584,170880
2020-11-03,423683,7749,176220
2020-11-04,433492,7952,184141
2020-11-05,443630,8148,192602
2020-11-06,453565,8358,203572
2020-11-07,464598,8553,212549
2020-11-08,474245,8695,215357
2020-11-09,483153,8812,217716
2020-11-10,493544,9018,223530
2020-11-11,504423,9214,230767
2020-11-12,515755,9422,237399
2020-11-13,527808,9604,243901
2020-11-14,540593,9806,249127
2020-11-15,551533,9904,251864
2020-11-16,561581,10002,254653
2020-11-17,573758,10168,261836
2020-11-18,586522,10431,270269
2020-11-19,600152,10694,278190
2020-11-20,614986,10929,286386
2020-11-21,629850,11149,294851
2020-11-22,642215,11292,299592
2020-11-23,653442,11423,303782
2020-11-24,665968,11619,312564
2020-11-25,680132,11857,321460
2020-11-26,695755,12091,331538
2020-11-27,712249,12292,340794
2020-11-28,728834,12485,350189
2020-11-29,742105,12613,354556
2020-11-30,752343,12731,360360
