Date,Confirmed,Deaths,Recovered
2020-09-01,126279,2654,59904
2020-09-02,128833,2705,60943
2020-09-03,131300,2759,61828
2020-09-04,134069,2812,62828
2020-09-05,136966,2863,63891
2020-09-06,139171,2898,64496
2020-09-07,141424,2930,64886
2020-09-08,143914,2988,65849
2020-09-09,146511,3034,67092
2020-09-10,149146,3079,68289
2020-09-11,152373,3132,69466
2020-09-12,155558,3206,70881
2020-09-13,158122,3239,71434
2020-09-14,160679,3273,72091
2020-09-15,163678,3326,73422
2020-09-16,166694,3404,74981
2020-09-17,170373,3465,76636
2020-09-18,173703,3535,78273
2020-09-19,177048,3585,79671
2020-09-20,180119,3626,80438
2020-09-21,182900,3652,81131
2020-09-22,185890,3716,82927
2020-09-23,189488,3784,84767
2020-09-24,192966,3838,86624
2020-09-25,196631,3910,88324
2020-09-26,200566,3988,90141
2020-09-27,203799,4044,91179
2020-09-28,206579,4082,91754
2020-09-29,210309,4154,93664
2020-09-30,214446,4221,95829
